date,total_trips,avg_distance
2020-12-31,16,4.814374999999999
2021-01-05,19,2.3210526315789473
2021-01-01,22967,3.2834018374189142
2021-01-06,2,9.825
2021-01-04,20124,2.665623633472468
2021-01-02,32297,3.2484760194445146
2021-01-03,24575,3.842257985757898
